,steam,ideal stages,feed stage,real trays,diameter (ft),reflux ratio,column height (ft),condenser heat duty (GJ/h),boiler heat duty (GJ/h),condenser area (m**2),boiler area (m**2),shell cost,tray cost,condenser cost,reboiler cost,annual steam cost,annual cooling water cost,total capital cost,annual utility cost,EAOC,EAOC steam,annualized capX
0,600psi,50,20,67.0,6.0,1.67,142.0,-8.008,9.046,61.954,73.757,303990.901,263997.948,66628.639,237647.142,1345008.793,23813.625,872264.63,1368822.418,1543275.344,0.872,174452.926
212,50psi,35,13,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,191.115,227606.932,185192.59,66630.67,685898.561,1067750.413,23816.193,1165328.754,1091566.606,1324632.357,0.806,233065.751
211,50psi,35,14,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,191.114,227606.932,185192.59,66630.505,685891.781,1067742.146,23815.985,1165321.809,1091558.13,1324622.492,0.806,233064.362
210,50psi,35,15,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,191.116,227606.932,185192.59,66630.748,685901.913,1067754.499,23816.292,1165332.183,1091570.791,1324637.227,0.806,233066.437
209,50psi,36,13,48.0,6.0,1.67,104.0,-8.009,9.047,61.96,191.113,231440.281,189132.858,66630.419,685888.389,1067738.01,23815.876,1173091.948,1091553.886,1326172.276,0.805,234618.39
208,50psi,36,14,48.0,6.0,1.67,104.0,-8.009,9.047,61.959,191.11,231440.281,189132.858,66630.08,685874.257,1067720.78,23815.447,1173077.476,1091536.227,1326151.722,0.805,234615.495
207,50psi,36,15,48.0,6.0,1.67,104.0,-8.009,9.047,61.959,191.11,231440.281,189132.858,66630.107,685875.603,1067722.42,23815.481,1173078.849,1091537.901,1326153.671,0.805,234615.77
214,50psi,34,14,46.0,6.0,1.67,100.0,-8.009,9.047,61.963,191.119,223771.16,181252.322,66631.145,685918.12,1067774.259,23816.794,1157572.748,1091591.053,1323105.603,0.807,231514.55
206,50psi,50,20,67.0,6.0,1.67,142.0,-8.008,9.046,61.954,191.097,303990.901,263997.948,66628.639,685814.748,1067648.222,23813.625,1320432.237,1091461.847,1355548.295,0.788,264086.447
104,150psi,36,15,48.0,6.0,1.67,104.0,-8.009,9.047,61.959,73.762,231440.281,189132.858,66630.107,237662.827,1126998.113,23815.481,724866.073,1150813.594,1295786.809,0.87,144973.215
105,150psi,36,14,48.0,6.0,1.67,104.0,-8.009,9.047,61.959,73.762,231440.281,189132.858,66630.08,237662.48,1126996.382,23815.447,724865.7,1150811.829,1295784.969,0.87,144973.14
106,150psi,36,13,48.0,6.0,1.67,104.0,-8.009,9.047,61.96,73.763,231440.281,189132.858,66630.419,237666.123,1127014.569,23815.876,724869.682,1150830.445,1295804.381,0.87,144973.936
107,150psi,35,15,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,73.764,227606.932,185192.59,66630.748,237669.609,1127031.973,23816.292,717099.879,1150848.265,1294268.241,0.871,143419.976
108,150psi,35,14,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,73.763,227606.932,185192.59,66630.505,237666.997,1127018.934,23815.985,717097.025,1150834.919,1294254.324,0.871,143419.405
109,150psi,35,13,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,73.764,227606.932,185192.59,66630.67,237668.745,1127027.66,23816.193,717098.938,1150843.853,1294263.641,0.871,143419.788
103,150psi,50,20,67.0,6.0,1.67,142.0,-8.008,9.046,61.954,73.757,303990.901,263997.948,66628.639,237647.142,1126919.796,23813.625,872264.63,1150733.421,1325186.347,0.85,174452.926
111,150psi,34,14,46.0,6.0,1.67,100.0,-8.009,9.047,61.963,73.766,223771.16,181252.322,66631.145,237673.786,1127052.83,23816.794,709328.414,1150869.624,1292735.307,0.872,141865.683
215,50psi,34,13,46.0,6.0,1.67,100.0,-8.009,9.047,61.962,191.119,223771.16,181252.322,66631.083,685915.636,1067771.23,23816.715,1157570.2,1091587.945,1323101.985,0.807,231514.04
8,600psi,34,14,46.0,6.0,1.67,100.0,-8.009,9.047,61.963,73.766,223771.16,181252.322,66631.145,237673.786,1345167.572,23816.794,709328.414,1368984.366,1510850.049,0.89,141865.683
1,600psi,36,15,48.0,6.0,1.67,104.0,-8.009,9.047,61.959,73.762,231440.281,189132.858,66630.107,237662.827,1345102.266,23815.481,724866.073,1368917.747,1513890.962,0.889,144973.215
2,600psi,36,14,48.0,6.0,1.67,104.0,-8.009,9.047,61.959,73.762,231440.281,189132.858,66630.08,237662.48,1345100.199,23815.447,724865.7,1368915.647,1513888.786,0.889,144973.14
3,600psi,36,13,48.0,6.0,1.67,104.0,-8.009,9.047,61.96,73.763,231440.281,189132.858,66630.419,237666.123,1345121.906,23815.876,724869.682,1368937.782,1513911.718,0.889,144973.936
4,600psi,35,15,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,73.764,227606.932,185192.59,66630.748,237669.609,1345142.678,23816.292,717099.879,1368958.97,1512378.946,0.889,143419.976
5,600psi,35,14,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,73.763,227606.932,185192.59,66630.505,237666.997,1345127.116,23815.985,717097.025,1368943.101,1512362.506,0.889,143419.405
6,600psi,35,13,47.0,6.0,1.67,102.0,-8.009,9.047,61.961,73.764,227606.932,185192.59,66630.67,237668.745,1345137.53,23816.193,717098.938,1368953.724,1512373.511,0.889,143419.788
9,600psi,34,13,46.0,6.0,1.67,100.0,-8.009,9.047,61.962,73.765,223771.16,181252.322,66631.083,237673.146,1345163.756,23816.715,709327.711,1368980.471,1510846.013,0.89,141865.542
112,150psi,34,13,46.0,6.0,1.67,100.0,-8.009,9.047,61.962,73.765,223771.16,181252.322,66631.083,237673.146,1127049.633,23816.715,709327.711,1150866.348,1292731.89,0.872,141865.542
223,50psi,31,14,42.0,6.0,1.671,92.0,-8.012,9.05,61.982,191.172,208400.204,165491.251,66636.949,686157.169,1068065.69,23824.133,1126685.574,1091889.823,1317226.938,0.811,225337.115
217,50psi,33,14,44.0,6.0,1.671,96.0,-8.01,9.048,61.966,191.129,216091.639,173371.787,66632.238,685963.29,1067829.329,23818.176,1142058.953,1091647.506,1320059.296,0.809,228411.791
225,50psi,31,12,42.0,6.0,1.671,92.0,-8.011,9.049,61.977,191.158,208400.204,165491.251,66635.403,686093.564,1067988.152,23822.178,1126620.423,1091810.33,1317134.414,0.811,225324.085
222,50psi,32,12,43.0,6.0,1.671,94.0,-8.011,9.049,61.973,191.147,212247.512,169431.519,66634.274,686045.222,1067929.217,23820.75,1134358.527,1091749.967,1318621.672,0.81,226871.705
221,50psi,32,13,43.0,6.0,1.671,94.0,-8.01,9.048,61.968,191.135,212247.512,169431.519,66632.861,685988.945,1067860.608,23818.964,1134300.837,1091679.572,1318539.739,0.81,226860.167
220,50psi,32,14,43.0,6.0,1.671,94.0,-8.011,9.049,61.972,191.145,212247.512,169431.519,66633.952,686033.8,1067915.293,23820.344,1134346.784,1091735.636,1318604.993,0.81,226869.357
213,50psi,35,12,47.0,6.0,1.671,102.0,-8.01,9.048,61.969,191.137,227606.932,185192.59,66633.155,685999.142,1067873.04,23819.335,1165431.819,1091692.375,1324778.739,0.806,233086.364
219,50psi,33,12,44.0,6.0,1.671,96.0,-8.01,9.048,61.97,191.14,216091.639,173371.787,66633.498,686014.957,1067892.321,23819.769,1142111.881,1091712.09,1320134.466,0.809,228422.376
218,50psi,33,13,44.0,6.0,1.671,96.0,-8.01,9.048,61.965,191.125,216091.639,173371.787,66631.737,685942.644,1067804.159,23817.543,1142037.807,1091621.701,1320029.263,0.809,228407.561
110,150psi,35,12,47.0,6.0,1.671,102.0,-8.01,9.048,61.969,73.773,227606.932,185192.59,66633.155,237694.67,1127157.095,23819.335,717127.347,1150976.43,1294401.899,0.871,143425.469
224,50psi,31,13,42.0,6.0,1.671,92.0,-8.011,9.049,61.974,191.151,208400.204,165491.251,66634.629,686061.52,1067949.086,23821.2,1126587.604,1091770.285,1317087.806,0.811,225317.521
216,50psi,34,12,46.0,6.0,1.671,100.0,-8.01,9.048,61.969,191.137,223771.16,181252.322,66633.154,686001.035,1067875.347,23819.335,1157657.671,1091694.682,1323226.216,0.807,231531.534
116,150psi,33,12,44.0,6.0,1.671,96.0,-8.01,9.048,61.97,73.774,216091.639,173371.787,66633.498,237698.746,1127177.446,23819.769,693795.67,1150997.215,1289756.349,0.874,138759.134
114,150psi,33,14,44.0,6.0,1.671,96.0,-8.01,9.048,61.966,73.77,216091.639,173371.787,66632.238,237685.429,1127110.958,23818.176,693781.093,1150929.134,1289685.353,0.874,138756.219
7,600psi,35,12,47.0,6.0,1.671,102.0,-8.01,9.048,61.969,73.773,227606.932,185192.59,66633.155,237694.67,1345292.015,23819.335,717127.347,1369111.35,1512536.819,0.889,143425.469
10,600psi,34,12,46.0,6.0,1.671,100.0,-8.01,9.048,61.969,73.773,223771.16,181252.322,66633.154,237695.158,1345294.922,23819.335,709351.794,1369114.256,1510984.615,0.89,141870.359
11,600psi,33,14,44.0,6.0,1.671,96.0,-8.01,9.048,61.966,73.77,216091.639,173371.787,66632.238,237685.429,1345236.949,23818.176,693781.093,1369055.125,1507811.344,0.892,138756.219
12,600psi,33,13,44.0,6.0,1.671,96.0,-8.01,9.048,61.965,73.768,216091.639,173371.787,66631.737,237680.107,1345205.239,23817.543,693775.27,1369022.782,1507777.836,0.892,138755.054
13,600psi,33,12,44.0,6.0,1.671,96.0,-8.01,9.048,61.97,73.774,216091.639,173371.787,66633.498,237698.746,1345316.304,23819.769,693795.67,1369136.074,1507895.208,0.892,138759.134
14,600psi,32,14,43.0,6.0,1.671,94.0,-8.011,9.049,61.972,73.775,212247.512,169431.519,66633.952,237703.603,1345345.244,23820.344,686016.586,1369165.588,1506368.905,0.893,137203.317
15,600psi,32,13,43.0,6.0,1.671,94.0,-8.01,9.048,61.968,73.772,212247.512,169431.519,66632.861,237692.041,1345276.353,23818.964,686003.934,1369095.317,1506296.103,0.893,137200.787
16,600psi,32,12,43.0,6.0,1.671,94.0,-8.011,9.049,61.973,73.776,212247.512,169431.519,66634.274,237706.546,1345362.786,23820.75,686019.851,1369183.536,1506387.506,0.893,137203.97
17,600psi,31,14,42.0,6.0,1.671,92.0,-8.012,9.05,61.982,73.786,208400.204,165491.251,66636.949,237735.4,1345534.712,23824.133,678263.804,1369358.846,1505011.606,0.894,135652.761
18,600psi,31,13,42.0,6.0,1.671,92.0,-8.011,9.049,61.974,73.778,208400.204,165491.251,66634.629,237710.747,1345387.816,23821.2,678236.831,1369209.016,1504856.382,0.894,135647.366
19,600psi,31,12,42.0,6.0,1.671,92.0,-8.011,9.049,61.977,73.78,208400.204,165491.251,66635.403,237719.006,1345437.031,23822.178,678245.865,1369259.209,1504908.382,0.894,135649.173
21,600psi,30,13,40.0,6.0,1.671,88.0,-8.012,9.05,61.984,73.788,200695.158,157610.715,66637.622,237742.528,1345577.185,23824.984,662686.023,1369402.169,1501939.374,0.896,132537.205
113,150psi,34,12,46.0,6.0,1.671,100.0,-8.01,9.048,61.969,73.773,223771.16,181252.322,66633.154,237695.158,1127159.53,23819.335,709351.794,1150978.865,1292849.224,0.872,141870.359
22,600psi,30,12,40.0,6.0,1.671,88.0,-8.012,9.05,61.983,73.787,200695.158,157610.715,66637.246,237738.583,1345553.68,23824.509,662681.703,1369378.189,1501914.53,0.896,132536.341
121,150psi,31,13,42.0,6.0,1.671,92.0,-8.011,9.049,61.974,73.778,208400.204,165491.251,66634.629,237710.747,1127237.363,23821.2,678236.831,1151058.562,1286705.928,0.876,135647.366
115,150psi,33,13,44.0,6.0,1.671,96.0,-8.01,9.048,61.965,73.768,216091.639,173371.787,66631.737,237680.107,1127084.39,23817.543,693775.27,1150901.932,1289656.986,0.874,138755.054
227,50psi,30,13,40.0,6.0,1.671,88.0,-8.012,9.05,61.984,191.178,200695.158,157610.715,66637.622,686184.826,1068099.404,23824.984,1111128.321,1091924.388,1314150.052,0.813,222225.664
117,150psi,32,14,43.0,6.0,1.671,94.0,-8.011,9.049,61.972,73.775,212247.512,169431.519,66633.952,237703.603,1127201.693,23820.344,686016.586,1151022.037,1288225.354,0.875,137203.317
118,150psi,32,13,43.0,6.0,1.671,94.0,-8.01,9.048,61.968,73.772,212247.512,169431.519,66632.861,237692.041,1127143.972,23818.964,686003.934,1150962.936,1288163.723,0.875,137200.787
119,150psi,32,12,43.0,6.0,1.671,94.0,-8.011,9.049,61.973,73.776,212247.512,169431.519,66634.274,237706.546,1127216.391,23820.75,686019.851,1151037.141,1288241.111,0.875,137203.97
120,150psi,31,14,42.0,6.0,1.671,92.0,-8.012,9.05,61.982,73.786,208400.204,165491.251,66636.949,237735.4,1127360.44,23824.133,678263.804,1151184.573,1286837.334,0.876,135652.761
