xVal,yVal
0,0
0.01,0.0225021
0.02,0.0441123
0.03,0.0649039
0.04,0.0849426
0.05,0.104288
0.06,0.122993
0.07,0.141106
0.08,0.158672
0.09,0.175729
0.1,0.192314
0.11,0.208461
0.12,0.224198
0.13,0.239553
0.14,0.25455
0.15,0.269213
0.16,0.283563
0.17,0.297618
0.18,0.311395
0.19,0.324911
0.2,0.33818
0.21,0.351216
0.22,0.364031
0.23,0.376637
0.24,0.389043
0.25,0.401259
0.26,0.413295
0.27,0.425157
0.28,0.436854
0.29,0.448392
0.3,0.459778
0.31,0.471017
0.32,0.482114
0.33,0.493074
0.34,0.503902
0.35,0.514602
0.36,0.525177
0.37,0.535631
0.38,0.545967
0.39,0.556187
0.4,0.566294
0.41,0.576291
0.42,0.586179
0.43,0.595962
0.44,0.605639
0.45,0.615213
0.46,0.624686
0.47,0.634058
0.48,0.643331
0.49,0.652506
0.5,0.661584
0.51,0.670565
0.52,0.679451
0.53,0.688241
0.54,0.696938
0.55,0.70554
0.56,0.714049
0.57,0.722465
0.58,0.730789
0.59,0.739021
0.6,0.74716
0.61,0.755208
0.62,0.763165
0.63,0.77103
0.64,0.778805
0.65,0.786489
0.66,0.794082
0.67,0.801584
0.68,0.808997
0.69,0.816319
0.7,0.823552
0.71,0.830695
0.72,0.837748
0.73,0.844712
0.74,0.851587
0.75,0.858373
0.76,0.86507
0.77,0.871678
0.78,0.878198
0.79,0.88463
0.8,0.890974
0.81,0.897231
0.82,0.903401
0.83,0.909483
0.84,0.91548
0.85,0.92139
0.86,0.927214
0.87,0.932952
0.88,0.938606
0.89,0.944175
0.9,0.949661
0.91,0.955062
0.92,0.96038
0.93,0.965616
0.94,0.97077
0.95,0.975842
0.96,0.980833
0.97,0.985744
0.98,0.990575
0.99,0.995327
1,1
