,ideal stages,real trays,reflux ratio,column height (ft),condenser heat duty (GJ/h),boiler heat duty (GJ/h),condenser area (m**2),boiler area (m**2),shell cost,tray cost,condenser cost,reboiler cost,annual steam cost,annual cooling water cost,total capital cost,annual utility cost,EAOC,EAOC steam
0,17,21.33,1.81,53.0,-8.43,9.47,65.38,77.2,122693.61,78220.0,67663.14,248258.68,1050216.33,28155.78,516835.42,1078372.12,1181739.2,0.89
1,16,20.0,1.83,50.5,-8.5,9.54,65.9,77.75,118763.2,73717.37,67821.22,249979.69,1058676.43,28357.73,510281.48,1087034.17,1189090.46,0.89
2,16,20.0,1.8,50.5,-8.4,9.44,65.13,76.94,117807.46,73154.9,67588.08,247442.62,1046204.74,28059.86,505993.05,1074264.6,1175463.21,0.89
3,16,20.0,2.01,50.5,-9.02,10.06,69.93,81.99,123706.85,76648.88,69020.86,263270.15,1123365.17,29901.9,532646.74,1153267.07,1259796.42,0.89
4,16,20.0,1.83,50.5,-8.5,9.54,65.91,77.76,118765.01,73718.43,67821.71,249986.23,1058702.39,28358.5,510291.38,1087060.89,1189119.16,0.89
5,15,18.67,1.93,47.5,-8.78,9.81,68.06,80.02,111173.27,71502.64,68465.01,257061.13,1093284.74,29183.85,508202.05,1122468.58,1224108.99,0.89
6,15,18.67,1.86,47.5,-8.57,9.61,66.47,78.35,109491.78,70477.69,67991.48,251840.19,1067805.1,28575.53,499801.15,1096380.63,1196340.86,0.89
7,15,18.67,2.03,47.5,-9.09,10.13,70.48,82.56,113729.29,73070.03,69182.6,265093.19,1132152.45,30111.64,521075.11,1162264.09,1266479.11,0.89
8,15,18.67,1.87,47.5,-8.61,9.65,66.76,78.65,109793.86,70661.46,68076.84,252777.39,1072388.04,28685.03,501309.55,1101073.07,1201334.98,0.89
9,13,16.0,2.11,42.5,-9.31,10.35,72.23,84.4,110504.02,74662.96,69698.39,270957.72,1160278.91,30783.03,525823.09,1191061.94,1296226.56,0.9
10,13,16.0,2.14,42.5,-9.41,10.44,72.94,85.15,111244.08,75158.84,69906.83,273346.58,1171689.59,31055.1,529656.33,1202744.68,1308675.95,0.9
11,13,16.0,2.03,42.5,-9.08,10.12,70.42,82.5,108610.6,73399.3,69166.52,264910.64,1131278.2,30090.66,516087.06,1161368.86,1264586.27,0.89
12,14,17.33,1.95,45.0,-8.85,9.89,68.67,80.66,111604.57,73556.23,68645.68,259069.35,1103041.83,29416.72,512875.83,1132458.55,1235033.72,0.89
13,14,17.33,2.07,45.0,-9.21,10.25,71.4,83.53,114623.41,75498.78,69454.48,268174.72,1146958.56,30465.05,527751.39,1177423.61,1282973.88,0.89
14,14,17.33,1.93,45.0,-8.79,9.83,68.16,80.12,111062.04,73208.92,68494.39,257386.41,1094870.06,29221.61,510151.76,1124091.67,1226122.02,0.89
